,Created at,User ID,User Name,Text,Description,Location,Followers Count,Friends Count,Statuses Count,Profile Image Url
326,Sat Sep 24 02:37:07 +0000 2022,1573501756272955394,Footy Liverpool,Liverpool midfield transfer answer escapes Aurélien Tchouaméni 'shadow' as France find £18m star -… https://t.co/MOsKUzbWqt,Liverpool Compilation News,Anfield ,436,18,47418,http://pbs.twimg.com/profile_images/447744562597855232/vm5_P1T2_normal.jpeg
327,Sat Sep 24 02:37:07 +0000 2022,1573501755677347841,ABP News,टेरर फंडिंग को लेकर NIA और ED ने पॉपुलर फ्रंट ऑफ इंडिया (PFI) से जुड़े पदाधिकारियों पर देशभर में कार्रवाई की है.… https://t.co/gRYlPDPCKd,Follow for latest news alerts from India. Download the App Now 👉🏻https://t.co/u07bpK1Nyp,India,12970179,35,434649,http://pbs.twimg.com/profile_images/1561397737446608896/OEJ133Br_normal.jpg
328,Sat Sep 24 02:36:47 +0000 2022,1573501672852426752,Thakur Vikrant Singh,@socialepfo @AmritMahotsav @PMOIndia @byadavbjp @Rameswar_Teli @LabourMinistry @PIB_India @airnewsalerts @PTI_News… https://t.co/hOgkhUw86N,You are next,Bangalore,44,249,2396,http://pbs.twimg.com/profile_images/1446832642347864066/crVTrAUE_normal.jpg
329,Sat Sep 24 02:36:05 +0000 2022,1573501497299583001,Ulak News,Cumhuriyet: Fenerbahçe'den Napoli'ye transfer olan Kim Min-Jae Kore basınına konuştu... https://t.co/kZa7Hgb0Vl ---… https://t.co/0ck77YcJM0,https://t.co/BQDg2LRkaW -Takip ederek Son dakika haberlerden haberdar olun. Tweetler sistem tarafından otomatik gönderilmektedir. Hukuksal konularda iletisime geciniz.,Türkiye,1613,274,651974,http://pbs.twimg.com/profile_images/1326613596332302341/kcSuf2NU_normal.jpg
330,Sat Sep 24 02:33:01 +0000 2022,1573500723408650240,Durga Godbole,#TSystems is now a proud partner of #AWS Service Delivery for AWS Transfer Family. How did we do it? Thanks to our… https://t.co/8EJEPv4Zar,"Project Manager for @tsystemsde customer magazine | Talks about #digitalization #cloud #connectivity #security #sustainability. Mom, bibliophile, @ManCity fan.","Pune, India",29,235,883,http://pbs.twimg.com/profile_images/1543804938643730432/-iqp6X6R_normal.jpg
331,Sat Sep 24 02:17:34 +0000 2022,1573496837503336448,Arsenal News,Arsenal 'join' Liverpool and Manchester City in £30m race for Mykhaylo Mudryk alternative: https://t.co/2g76VXsDnn,Arsenal News App for IPhone and IPad (https://t.co/KAk6MGJztx),,2661,211,113400,http://pbs.twimg.com/profile_images/2729654851/f6c8defaf8dea8a30b0f3a877bc79153_normal.png
332,Sat Sep 24 02:11:04 +0000 2022,1573495199447269394,MyHeartIsBlue 🇺🇸🌅💙🌅🇺🇸,@Liz_Cheney @FoxNews When have the Murdochs or Fox News EVER cared about America's interests? They are all about th… https://t.co/5g5mRjOJSq,"The new dawn blooms as we free it


For there is always light,
if only we're brave enough to see it


If only we're brave enough to be it
-Amanda Gorman","St Augustine, FL",390,1000,8511,http://pbs.twimg.com/profile_images/1499844665734017030/uU8LSLYV_normal.jpg
333,Sat Sep 24 02:01:00 +0000 2022,1573492665814945792,Liverpool.com,"#LFC midfield transfer answer escapes Aurélien Tchouaméni 'shadow' as France find £18m star 🔴✍️

https://t.co/QvBsFBhTbY","Written, audio & video content for #LFC fans everywhere! 🔴✍🏼🎙️🌍

⭕ https://t.co/lo43QaNCNv 🗞️
⭕ https://t.co/NIeVBuSqnd 👍
⭕ https://t.co/B7RQBKd9To 🎥",Liverpool,20310,375,43967,http://pbs.twimg.com/profile_images/1133429755154444289/OpMNqlFP_normal.jpg
334,Sat Sep 24 01:50:20 +0000 2022,1573489981955399680,Don Lichterman (SCA),DearMob Rolls Out iOS 16-Ready iPhone Manager v5.8 to Ease iPhone Data Transfer and Backup https://t.co/p7CEqdky5y,"Don Lichterman is the founder/head of the SCA Sunset Entertainment & Media Company, Sustainable Action Now, Sunset, Explore NJ, Sunset Vending Co, WSCA, more!","New Jersey, USA",7986,2489,562704,http://pbs.twimg.com/profile_images/1573297915233181697/FyLOQcwn_normal.jpg
335,Sat Sep 24 01:43:30 +0000 2022,1573488264266260494,oluwalase,@jean__fidele @3unem @BiGBenjamin346 @PoojaMedia Yes is part of his because he work for skysport which covers most… https://t.co/fpSaDdJmJz,#LFC YNWA,,176,448,434,http://pbs.twimg.com/profile_images/1562723948491677696/MpwSj9MA_normal.jpg
336,Sat Sep 24 01:41:16 +0000 2022,1573487700250066944,oddhan,@NEWS_MAKER You’d think an American school would be forced to transfer the teacher to a different position just out of liability reasons.,I’m German and I know things.,Pacific Northwest,470,2504,55088,http://pbs.twimg.com/profile_images/378800000092126914/3ed19f72c57dc6fdd65bc57c55cce2f5_normal.jpeg
337,Sat Sep 24 01:39:26 +0000 2022,1573487239199334409,Sahu News,Kastellio Vaughan Transfer To New Facility (Update) https://t.co/ui32mYO9hK,"Sahu News provides comprehensive and up-to-date news coverage, compiled from a variety of sources throughout the world.",Global,154,0,142269,http://pbs.twimg.com/profile_images/1463240540439425031/Dqrd0lUk_normal.jpg
338,Sat Sep 24 01:31:48 +0000 2022,1573485319411867670,Crypto Premier Guide,Crypto Premier Guide Friday’s news article is “Coinbase Sued Again for $350 Million Over Patented Crypto Transfer T… https://t.co/N6UstCH1LV,Crypto Premier Guide’s goal is to bring its audience the latest information in the crypto world. We are supported by our audience. Another goal of Crypto Premie,,1,19,32,http://pbs.twimg.com/profile_images/1552766616554930176/JJiGopB6_normal.png
